pool,record_id,gold_family,pool_size,any_gold,gold_recall,distinct_gold_recovered,rrf_hit1,rrf_hit5
direct-only,nvbench2:test:170,rect,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:173,point,8,1.0,0.25,1,0.0,1.0
direct-only,nvbench2:test:174,boxplot,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:178,arc,1,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:183,bar,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:192,point,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:194,boxplot,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:201,bar,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:223,boxplot,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:227,line,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:236,boxplot,11,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:238,line,12,1.0,0.3333333333333333,1,0.0,1.0
direct-only,nvbench2:test:252,arc,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:254,point,16,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:263,boxplot,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:268,rect,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:287,point,16,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:296,bar+line+rect,10,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:297,bar,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:298,line,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:303,boxplot,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:317,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:319,point,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:320,rect,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:325,rect,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:332,rect,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:335,arc,1,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:341,rect,12,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:344,rect,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:349,arc,11,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:351,boxplot,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:355,rect,13,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:365,point,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:366,boxplot,10,1.0,0.2,1,0.0,1.0
direct-only,nvbench2:test:376,rect,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:377,rect,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:384,arc,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:385,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:388,bar+line+rect,12,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:392,rect,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:395,rect,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:406,bar,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:426,arc,1,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:430,bar,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:432,bar+line+rect,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:434,arc,3,1.0,0.2,1,1.0,1.0
direct-only,nvbench2:test:435,rect,11,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:443,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:446,arc,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:454,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:461,rect,12,1.0,0.3333333333333333,1,0.0,1.0
direct-only,nvbench2:test:466,rect,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:471,line,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:479,bar+line,10,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:483,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:486,rect,14,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:489,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:492,rect,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:505,bar,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:508,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:519,boxplot,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:524,bar+line+rect,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:526,arc,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:531,line,0,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:532,arc+bar+line,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:535,line,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:545,rect,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:546,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:547,rect,5,1.0,0.3333333333333333,1,0.0,1.0
direct-only,nvbench2:test:551,line,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:552,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:553,bar,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:554,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:556,rect,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:558,arc,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:561,line,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:566,boxplot,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:574,bar,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:577,line,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:578,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:583,rect,17,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:589,arc,5,1.0,0.5,1,0.0,1.0
direct-only,nvbench2:test:609,point,17,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:610,bar,12,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:611,bar+line,12,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:622,line,8,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:623,arc,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:634,boxplot,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:636,arc,6,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:637,line,0,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:642,boxplot,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:647,bar+line+point,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:649,rect,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:651,point,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:658,bar,10,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:663,point,10,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:665,point,13,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:666,arc,7,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:676,line,8,1.0,0.5,1,0.0,1.0
direct-only,nvbench2:test:677,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:685,point,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:687,boxplot,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:688,boxplot,11,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:695,point,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:703,arc,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:705,arc,9,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:707,arc,12,1.0,0.5,2,0.0,0.0
direct-only,nvbench2:test:711,boxplot,19,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:727,bar,13,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:730,arc,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:731,bar,3,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:732,boxplot,4,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:736,bar,5,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:737,arc,0,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:741,boxplot,2,0.0,0.0,0,0.0,0.0
direct-only,nvbench2:test:745,boxplot,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:7,bar,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:11,point,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:18,rect,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:20,arc,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:25,boxplot,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:26,boxplot,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:31,rect,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:35,bar+line,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:37,arc,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:39,bar,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:62,arc,1,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:70,bar,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:79,boxplot,9,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:90,arc,2,1.0,0.3333333333333333,1,0.0,1.0
staged-only,nvbench2:test:97,line,5,1.0,0.2,1,1.0,1.0
staged-only,nvbench2:test:99,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:102,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:105,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:111,rect,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:112,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:113,line,1,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:117,bar,1,1.0,0.2,1,1.0,1.0
staged-only,nvbench2:test:127,arc,7,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:131,arc,1,1.0,0.25,1,1.0,1.0
staged-only,nvbench2:test:132,bar,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:133,bar,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:142,rect,6,1.0,1.0,2,0.0,1.0
staged-only,nvbench2:test:144,bar,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:150,bar,5,1.0,0.25,1,1.0,1.0
staged-only,nvbench2:test:157,line,1,1.0,0.2,1,1.0,1.0
staged-only,nvbench2:test:160,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:162,rect,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:163,line,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:168,bar,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:170,rect,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:173,point,2,1.0,0.25,1,0.0,1.0
staged-only,nvbench2:test:174,boxplot,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:178,arc,1,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:183,bar,2,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:192,point,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:194,boxplot,5,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:201,bar,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:223,boxplot,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:227,line,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:236,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:238,line,2,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:252,arc,6,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:254,point,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:263,boxplot,6,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:268,rect,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:287,point,10,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:296,bar+line+rect,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:297,bar,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:298,line,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:303,boxplot,5,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:317,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:319,point,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:320,rect,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:325,rect,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:332,rect,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:335,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:341,rect,4,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:344,rect,8,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:349,arc,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:351,boxplot,5,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:355,rect,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:365,point,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:366,boxplot,1,1.0,0.2,1,1.0,1.0
staged-only,nvbench2:test:376,rect,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:377,rect,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:384,arc,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:385,arc,1,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:388,bar+line+rect,5,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:392,rect,5,1.0,0.5,2,0.0,1.0
staged-only,nvbench2:test:395,rect,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:406,bar,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:426,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:430,bar,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:432,bar+line+rect,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:434,arc,1,1.0,0.2,1,1.0,1.0
staged-only,nvbench2:test:435,rect,5,1.0,0.25,1,1.0,1.0
staged-only,nvbench2:test:443,arc,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:446,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:454,arc,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:461,rect,2,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:466,rect,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:471,line,5,1.0,0.4,2,1.0,1.0
staged-only,nvbench2:test:479,bar+line,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:483,arc,1,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:486,rect,6,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:489,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:492,rect,4,1.0,0.5,1,0.0,1.0
staged-only,nvbench2:test:505,bar,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:508,arc,1,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:519,boxplot,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:524,bar+line+rect,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:526,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:531,line,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:532,arc+bar+line,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:535,line,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:545,rect,2,1.0,0.5,1,0.0,1.0
staged-only,nvbench2:test:546,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:547,rect,1,1.0,0.3333333333333333,1,1.0,1.0
staged-only,nvbench2:test:551,line,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:552,arc,1,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:553,bar,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:554,arc,1,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:556,rect,2,1.0,1.0,1,1.0,1.0
staged-only,nvbench2:test:558,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:561,line,2,1.0,0.2,1,1.0,1.0
staged-only,nvbench2:test:566,boxplot,3,1.0,0.25,1,0.0,1.0
staged-only,nvbench2:test:574,bar,4,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:577,line,3,1.0,0.2,1,0.0,1.0
staged-only,nvbench2:test:578,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:583,rect,6,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:589,arc,2,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:609,point,9,1.0,0.5,1,0.0,0.0
staged-only,nvbench2:test:610,bar,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:611,bar+line,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:622,line,4,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:623,arc,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:634,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:636,arc,4,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:637,line,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:642,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:647,bar+line+point,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:649,rect,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:651,point,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:658,bar,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:663,point,6,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:665,point,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:666,arc,4,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:676,line,1,1.0,0.5,1,1.0,1.0
staged-only,nvbench2:test:677,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:685,point,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:687,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:688,boxplot,6,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:695,point,4,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:703,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:705,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:707,arc,3,1.0,0.5,2,1.0,1.0
staged-only,nvbench2:test:711,boxplot,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:727,bar,3,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:730,arc,0,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:731,bar,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:732,boxplot,5,1.0,0.5,1,0.0,1.0
staged-only,nvbench2:test:736,bar,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:737,arc,1,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:741,boxplot,2,0.0,0.0,0,0.0,0.0
staged-only,nvbench2:test:745,boxplot,4,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:7,bar,18,1.0,0.2,1,0.0,0.0
direct+staged,nvbench2:test:11,point,16,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:18,rect,8,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:20,arc,10,1.0,1.0,2,0.0,0.0
direct+staged,nvbench2:test:25,boxplot,5,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:26,boxplot,9,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:31,rect,15,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:35,bar+line,17,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:37,arc,17,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:39,bar,7,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:62,arc,5,1.0,0.3333333333333333,1,0.0,1.0
direct+staged,nvbench2:test:70,bar,8,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:79,boxplot,26,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:90,arc,8,1.0,0.3333333333333333,1,0.0,1.0
direct+staged,nvbench2:test:97,line,11,1.0,0.2,1,1.0,1.0
direct+staged,nvbench2:test:99,boxplot,7,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:102,boxplot,7,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:105,arc,4,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:111,rect,6,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:112,arc,6,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:113,line,15,1.0,0.3333333333333333,1,1.0,1.0
direct+staged,nvbench2:test:117,bar,3,1.0,0.2,1,0.0,1.0
direct+staged,nvbench2:test:127,arc,13,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:131,arc,8,1.0,0.25,1,1.0,1.0
direct+staged,nvbench2:test:132,bar,1,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:133,bar,4,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:142,rect,13,1.0,1.0,2,0.0,1.0
direct+staged,nvbench2:test:144,bar,8,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:150,bar,9,1.0,0.25,1,0.0,1.0
direct+staged,nvbench2:test:157,line,8,1.0,0.2,1,1.0,1.0
direct+staged,nvbench2:test:160,arc,8,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:162,rect,9,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:163,line,3,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:168,bar,4,1.0,0.2,1,0.0,1.0
direct+staged,nvbench2:test:170,rect,9,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:173,point,9,1.0,0.25,1,1.0,1.0
direct+staged,nvbench2:test:174,boxplot,9,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:178,arc,2,1.0,0.5,1,0.0,1.0
direct+staged,nvbench2:test:183,bar,4,1.0,0.3333333333333333,1,0.0,1.0
direct+staged,nvbench2:test:192,point,9,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:194,boxplot,13,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:201,bar,8,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:223,boxplot,7,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:227,line,3,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:236,boxplot,12,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:238,line,13,1.0,0.3333333333333333,1,1.0,1.0
direct+staged,nvbench2:test:252,arc,11,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:254,point,17,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:263,boxplot,9,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:268,rect,5,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:287,point,23,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:296,bar+line+rect,11,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:297,bar,7,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:298,line,5,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:303,boxplot,14,1.0,0.5,1,0.0,1.0
direct+staged,nvbench2:test:317,arc,2,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:319,point,10,0.0,0.0,0,0.0,0.0
direct+staged,nvbench2:test:320,rect,7,0.0,0.0,0,0.0,0.0
