record_id,model,contrast,chart_family,hardness,baseline_difference,baseline_core_equal_gold,baseline_top1,comparator_top1,gold
nvbench-v1-strict:3284,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Reign"", ""type"": ""ordinal""}, ""y"": {""field"": ""Days_held"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Reign""}, ""y"": {""field"": ""Days_held""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Reign""}, ""y"": {""field"": ""Days_held""}}, ""mark"": ""point""}"
nvbench-v1-strict:352,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Body_Builder_ID"", ""type"": ""ordinal""}, ""y"": {""field"": ""People_ID"", ""type"": ""ordinal""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Body_Builder_ID""}, ""y"": {""field"": ""People_ID""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Body_Builder_ID""}, ""y"": {""field"": ""People_ID""}}, ""mark"": ""point""}"
nvbench-v1-strict:385,qwen3:14b,staged-rich minus direct-rich,Grouping Scatter,Easy,other_representation_difference,False,"{""encoding"": {""color"": {""field"": ""Sex"", ""type"": ""nominal""}, ""x"": {""field"": ""People_ID"", ""type"": ""quantitative""}, ""y"": {""field"": ""Height"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Height""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Height""}}, ""mark"": ""point""}"
nvbench-v1-strict:391,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""People_ID"", ""type"": ""quantitative""}, ""y"": {""field"": ""Weight"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Weight""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Weight""}}, ""mark"": ""point""}"
nvbench-v1-strict:558,qwen3:14b,staged-rich minus direct-rich,Stacked Bar,Hard,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""CRS_DESCRIPTION"", ""type"": ""nominal""}, ""x"": {""field"": ""EMP_FNAME"", ""type"": ""nominal""}, ""y"": {""aggregate"": ""count"", ""field"": ""CLASS_CODE"", ""type"": ""nominal""}}, ""mark"": ""bar""}","{""encoding"": {""color"": {""field"": ""CRS_DESCRIPTION""}, ""x"": {""field"": ""EMP_FNAME""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}","{""encoding"": {""color"": {""field"": ""CRS_DESCRIPTION""}, ""x"": {""field"": ""EMP_FNAME""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}"
nvbench-v1-strict:565,qwen3:14b,staged-rich minus direct-rich,Pie,Easy,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""DEPT_CODE""}, ""theta"": {""aggregate"": ""sum"", ""field"": ""DEPT_CODE""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""DEPT_CODE""}, ""theta"": {""aggregate"": ""sum"", ""field"": ""STU_HRS""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""DEPT_CODE""}, ""theta"": {""aggregate"": ""sum"", ""field"": ""STU_HRS""}}, ""mark"": ""arc""}"
nvbench-v1-strict:62,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Age"", ""type"": ""quantitative""}, ""y"": {""aggregate"": ""count"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Age""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Age""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}"
nvbench-v1-strict:683,qwen3:14b,staged-rich minus direct-rich,Bar,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Headquarters"", ""type"": ""nominal""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}","{""encoding"": {""x"": {""field"": ""Headquarters""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}","{""encoding"": {""x"": {""field"": ""Headquarters""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}"
nvbench-v1-strict:707,qwen3:14b,staged-rich minus direct-rich,Scatter,Easy,multiple_components,False,"{""encoding"": {""color"": {""field"": ""County_ID""}, ""x"": {""aggregate"": ""mean"", ""field"": ""White""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Crime_rate""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""White""}, ""y"": {""field"": ""Crime_rate""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""White""}, ""y"": {""field"": ""Crime_rate""}}, ""mark"": ""point""}"
nvbench-v1-strict:942,qwen3:14b,staged-rich minus direct-rich,Grouping Line,Hard,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""other_account_details""}, ""x"": {""field"": ""date_account_opened"", ""timeUnit"": ""year"", ""type"": ""temporal""}, ""y"": {""aggregate"": ""count"", ""field"": ""account_id""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""other_account_details""}, ""x"": {""field"": ""date_account_opened"", ""timeUnit"": ""year""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""other_account_details""}, ""x"": {""field"": ""date_account_opened"", ""timeUnit"": ""year""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}"
nvbench-v1-strict:1021,qwen3:14b,staged-rich minus direct-basic (secondary),Pie,Easy,multiple_components,False,"{""encoding"": {""color"": {""field"": ""outcome_code"", ""type"": ""nominal""}, ""detail"": {""field"": ""outcome_code"", ""type"": ""nominal""}, ""theta"": {""field"": ""outcome_code"", ""type"": ""nominal""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""outcome_code""}, ""theta"": {""aggregate"": ""count""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""outcome_code""}, ""theta"": {""aggregate"": ""count""}}, ""mark"": ""arc""}"
nvbench-v1-strict:1236,qwen3:14b,staged-rich minus direct-basic (secondary),Pie,Easy,multiple_components,False,"{""encoding"": {""color"": {""field"": ""Sex"", ""type"": ""nominal""}, ""detail"": {""aggregate"": ""mean"", ""field"": ""Age""}, ""theta"": {""field"": ""Sex"", ""type"": ""nominal""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""theta"": {""aggregate"": ""mean"", ""field"": ""Age""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""theta"": {""aggregate"": ""mean"", ""field"": ""Age""}}, ""mark"": ""arc""}"
nvbench-v1-strict:1484,qwen3:14b,staged-rich minus direct-basic (secondary),Grouping Line,Hard,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""Away_team"", ""type"": ""nominal""}, ""x"": {""field"": ""Season"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""count"", ""field"": ""id""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""Away_team""}, ""x"": {""field"": ""Season""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""Away_team""}, ""x"": {""field"": ""Season""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}"
nvbench-v1-strict:171,qwen3:14b,staged-rich minus direct-basic (secondary),Line,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""year"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""mean"", ""field"": ""attendance""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""attendance""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""attendance""}}, ""mark"": ""line""}"
nvbench-v1-strict:2264,qwen3:14b,staged-rich minus direct-basic (secondary),Grouping Scatter,Medium,other_representation_difference,False,"{""encoding"": {""color"": {""field"": ""Headquarter"", ""type"": ""nominal""}, ""x"": {""field"": ""Code"", ""type"": ""quantitative""}, ""y"": {""field"": ""Price"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Headquarter""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Price""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Headquarter""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Price""}}, ""mark"": ""point""}"
nvbench-v1-strict:2266,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Code"", ""type"": ""quantitative""}, ""y"": {""field"": ""Manufacturer"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}"
nvbench-v1-strict:2275,qwen3:14b,staged-rich minus direct-basic (secondary),Grouping Scatter,Medium,multiple_components,False,"{""encoding"": {""color"": {""field"": ""Name"", ""type"": ""nominal""}, ""detail"": {""field"": ""Attribute Name"", ""type"": ""nominal""}, ""x"": {""field"": ""Code"", ""type"": ""quantitative""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Manufacturer"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Name""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Name""}, ""x"": {""field"": ""Code""}, ""y"": {""field"": ""Manufacturer""}}, ""mark"": ""point""}"
nvbench-v1-strict:2874,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,multiple_components,False,"{""encoding"": {""x"": {""field"": ""Grade"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""count"", ""field"": ""LastName"", ""title"": ""Total Students in Grade""}}, ""mark"": ""bar""}","{""encoding"": {""x"": {""field"": ""Grade""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Grade""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}"
nvbench-v1-strict:2991,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Medium,operation_only,False,"{""encoding"": {""x"": {""field"": ""lot_id"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""average"", ""field"": ""amount_of_transaction"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""lot_id""}, ""y"": {""aggregate"": ""mean"", ""field"": ""amount_of_transaction""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""lot_id""}, ""y"": {""aggregate"": ""mean"", ""field"": ""amount_of_transaction""}}, ""mark"": ""point""}"
nvbench-v1-strict:3240,qwen3:14b,staged-rich minus direct-basic (secondary),Line,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Year"", ""type"": ""ordinal""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Price""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""Year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Price""}}, ""mark"": ""line""}","{""encoding"": {""x"": {""field"": ""Year""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Price""}}, ""mark"": ""line""}"
nvbench-v1-strict:3284,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Reign"", ""type"": ""ordinal""}, ""y"": {""field"": ""Days_held"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Reign""}, ""y"": {""field"": ""Days_held""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Reign""}, ""y"": {""field"": ""Days_held""}}, ""mark"": ""point""}"
nvbench-v1-strict:352,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Body_Builder_ID"", ""type"": ""ordinal""}, ""y"": {""field"": ""People_ID"", ""type"": ""ordinal""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Body_Builder_ID""}, ""y"": {""field"": ""People_ID""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Body_Builder_ID""}, ""y"": {""field"": ""People_ID""}}, ""mark"": ""point""}"
nvbench-v1-strict:385,qwen3:14b,staged-rich minus direct-basic (secondary),Grouping Scatter,Easy,other_representation_difference,False,"{""encoding"": {""color"": {""field"": ""Sex"", ""type"": ""nominal""}, ""x"": {""field"": ""People_ID"", ""type"": ""quantitative""}, ""y"": {""field"": ""Height"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Height""}}, ""mark"": ""point""}","{""encoding"": {""color"": {""field"": ""Sex""}, ""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Height""}}, ""mark"": ""point""}"
nvbench-v1-strict:391,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""People_ID"", ""type"": ""quantitative""}, ""y"": {""field"": ""Weight"", ""type"": ""quantitative""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Weight""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""People_ID""}, ""y"": {""field"": ""Weight""}}, ""mark"": ""point""}"
nvbench-v1-strict:558,qwen3:14b,staged-rich minus direct-basic (secondary),Stacked Bar,Hard,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""CRS_DESCRIPTION"", ""type"": ""nominal""}, ""x"": {""field"": ""EMP_FNAME"", ""type"": ""nominal""}, ""y"": {""aggregate"": ""count"", ""field"": ""CLASS_CODE"", ""type"": ""nominal""}}, ""mark"": ""bar""}","{""encoding"": {""color"": {""field"": ""CRS_DESCRIPTION""}, ""x"": {""field"": ""EMP_FNAME""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}","{""encoding"": {""color"": {""field"": ""CRS_DESCRIPTION""}, ""x"": {""field"": ""EMP_FNAME""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}"
nvbench-v1-strict:565,qwen3:14b,staged-rich minus direct-basic (secondary),Pie,Easy,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""DEPT_CODE""}, ""detail"": {""field"": ""DEPT_CODE""}, ""theta"": {""aggregate"": ""sum"", ""field"": ""DEPT_CODE""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""DEPT_CODE""}, ""theta"": {""aggregate"": ""sum"", ""field"": ""STU_HRS""}}, ""mark"": ""arc""}","{""encoding"": {""color"": {""field"": ""DEPT_CODE""}, ""theta"": {""aggregate"": ""sum"", ""field"": ""STU_HRS""}}, ""mark"": ""arc""}"
nvbench-v1-strict:62,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,other_representation_difference,False,"{""encoding"": {""x"": {""field"": ""Age"", ""type"": ""quantitative""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Age""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""Age""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""point""}"
nvbench-v1-strict:683,qwen3:14b,staged-rich minus direct-basic (secondary),Bar,Easy,field_or_channel_mapping,False,"{""encoding"": {""x"": {""field"": ""Headquarters"", ""type"": ""nominal""}, ""y"": {""aggregate"": ""count"", ""field"": ""Company_ID""}}, ""mark"": ""bar""}","{""encoding"": {""x"": {""field"": ""Headquarters""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}","{""encoding"": {""x"": {""field"": ""Headquarters""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""bar""}"
nvbench-v1-strict:707,qwen3:14b,staged-rich minus direct-basic (secondary),Scatter,Easy,operation_only,False,"{""encoding"": {""x"": {""aggregate"": ""mean"", ""field"": ""White""}, ""y"": {""aggregate"": ""mean"", ""field"": ""Crime_rate""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""White""}, ""y"": {""field"": ""Crime_rate""}}, ""mark"": ""point""}","{""encoding"": {""x"": {""field"": ""White""}, ""y"": {""field"": ""Crime_rate""}}, ""mark"": ""point""}"
nvbench-v1-strict:942,qwen3:14b,staged-rich minus direct-basic (secondary),Grouping Line,Hard,field_or_channel_mapping,False,"{""encoding"": {""color"": {""field"": ""other_account_details""}, ""x"": {""field"": ""date_account_opened"", ""timeUnit"": ""year"", ""type"": ""temporal""}, ""y"": {""aggregate"": ""count"", ""field"": ""account_id""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""other_account_details""}, ""x"": {""field"": ""date_account_opened"", ""timeUnit"": ""year""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}","{""encoding"": {""color"": {""field"": ""other_account_details""}, ""x"": {""field"": ""date_account_opened"", ""timeUnit"": ""year""}, ""y"": {""aggregate"": ""count""}}, ""mark"": ""line""}"
